SETTLEMENTDATE,REGIONID,AVGRRP,PEAKRRP
2023/09/01 00:00:00,NSW1,99.65000000,100.16000000
2023/09/01 00:00:00,QLD1,60.30000000,45.25000000
2023/09/01 00:00:00,TAS1,58.85000000,56.14000000
2023/09/01 00:00:00,VIC1,96.12000000,99.03000000
2023/09/01 00:00:00,SA1,117.66000000,107.87000000
2023/09/02 00:00:00,SA1,77.37000000,N/A
2023/09/02 00:00:00,VIC1,70.47000000,N/A
2023/09/02 00:00:00,TAS1,55.42000000,N/A
2023/09/02 00:00:00,QLD1,52.12000000,N/A
2023/09/02 00:00:00,NSW1,81.20000000,N/A
2023/09/03 00:00:00,QLD1,38.50000000,N/A
2023/09/03 00:00:00,TAS1,16.26000000,N/A
2023/09/03 00:00:00,VIC1,-53.67000000,N/A
2023/09/03 00:00:00,SA1,-47.89000000,N/A
2023/09/03 00:00:00,NSW1,46.82000000,N/A
2023/09/04 00:00:00,SA1,39.66000000,41.45000000
2023/09/04 00:00:00,VIC1,19.54000000,29.41000000
2023/09/04 00:00:00,NSW1,203.00000000,278.71000000
2023/09/04 00:00:00,TAS1,20.35000000,23.50000000
2023/09/04 00:00:00,QLD1,182.95000000,249.22000000
2023/09/05 00:00:00,VIC1,35.29000000,32.16000000
2023/09/05 00:00:00,QLD1,44.95000000,31.85000000
2023/09/05 00:00:00,SA1,47.64000000,49.51000000
2023/09/05 00:00:00,NSW1,48.99000000,36.73000000
2023/09/05 00:00:00,TAS1,29.97000000,28.08000000
2023/09/06 00:00:00,SA1,-2.45000000,-35.87000000
2023/09/06 00:00:00,TAS1,14.03000000,18.06000000
2023/09/06 00:00:00,NSW1,72.06000000,61.59000000
2023/09/06 00:00:00,VIC1,-11.54000000,-31.79000000
2023/09/06 00:00:00,QLD1,123.57000000,143.94000000
2023/09/07 00:00:00,QLD1,52.80000000,39.70000000
2023/09/07 00:00:00,SA1,-29.09000000,-42.14000000
2023/09/07 00:00:00,NSW1,53.70000000,39.96000000
2023/09/07 00:00:00,VIC1,-12.46000000,-16.44000000
2023/09/07 00:00:00,TAS1,5.79000000,10.42000000
2023/09/08 00:00:00,TAS1,15.69000000,16.57000000
2023/09/08 00:00:00,QLD1,57.83000000,57.33000000
2023/09/08 00:00:00,NSW1,56.72000000,57.76000000
2023/09/08 00:00:00,SA1,43.07000000,14.74000000
2023/09/08 00:00:00,VIC1,32.44000000,43.12000000
2023/09/09 00:00:00,SA1,60.95000000,N/A
2023/09/09 00:00:00,VIC1,25.30000000,N/A
2023/09/09 00:00:00,NSW1,42.67000000,N/A
2023/09/09 00:00:00,QLD1,36.40000000,N/A
2023/09/09 00:00:00,TAS1,27.43000000,N/A
2023/09/10 00:00:00,NSW1,65.51000000,N/A
2023/09/10 00:00:00,SA1,55.41000000,N/A
2023/09/10 00:00:00,TAS1,33.42000000,N/A
2023/09/10 00:00:00,VIC1,47.04000000,N/A
2023/09/10 00:00:00,QLD1,48.49000000,N/A
2023/09/11 00:00:00,VIC1,85.67000000,84.63000000
2023/09/11 00:00:00,NSW1,97.26000000,96.83000000
2023/09/11 00:00:00,QLD1,76.23000000,69.95000000
2023/09/11 00:00:00,TAS1,56.78000000,50.49000000
2023/09/11 00:00:00,SA1,94.87000000,91.15000000
2023/09/12 00:00:00,NSW1,95.66000000,83.48000000
2023/09/12 00:00:00,VIC1,44.48000000,16.18000000
2023/09/12 00:00:00,QLD1,65.32000000,42.50000000
2023/09/12 00:00:00,SA1,72.20000000,36.37000000
2023/09/12 00:00:00,TAS1,45.24000000,31.61000000
2023/09/13 00:00:00,TAS1,51.34000000,34.30000000
2023/09/13 00:00:00,QLD1,65.82000000,44.53000000
2023/09/13 00:00:00,VIC1,59.63000000,40.69000000
2023/09/13 00:00:00,NSW1,81.15000000,64.43000000
2023/09/13 00:00:00,SA1,80.97000000,46.19000000
2023/09/14 00:00:00,VIC1,-7.29000000,-19.28000000
2023/09/14 00:00:00,NSW1,61.27000000,53.82000000
2023/09/14 00:00:00,QLD1,39.58000000,22.54000000
2023/09/14 00:00:00,SA1,-20.57000000,-30.35000000
2023/09/14 00:00:00,TAS1,26.96000000,35.13000000
2023/09/15 00:00:00,SA1,53.36000000,40.12000000
2023/09/15 00:00:00,QLD1,29.38000000,10.40000000
2023/09/15 00:00:00,TAS1,8.88000000,2.26000000
2023/09/15 00:00:00,VIC1,17.15000000,4.28000000
2023/09/15 00:00:00,NSW1,41.43000000,26.68000000
2023/09/16 00:00:00,SA1,13.53000000,N/A
2023/09/16 00:00:00,TAS1,-1.63000000,N/A
2023/09/16 00:00:00,NSW1,29.08000000,N/A
2023/09/16 00:00:00,VIC1,-18.48000000,N/A
2023/09/16 00:00:00,QLD1,24.63000000,N/A
2023/09/17 00:00:00,QLD1,34.32000000,N/A
2023/09/17 00:00:00,NSW1,35.93000000,N/A
2023/09/17 00:00:00,SA1,5.30000000,N/A
2023/09/17 00:00:00,VIC1,5.80000000,N/A
2023/09/17 00:00:00,TAS1,11.82000000,N/A
2023/09/18 00:00:00,TAS1,29.53000000,35.72000000
2023/09/18 00:00:00,VIC1,59.50000000,76.25000000
2023/09/18 00:00:00,NSW1,79.04000000,82.38000000
2023/09/18 00:00:00,QLD1,54.49000000,44.35000000
2023/09/18 00:00:00,SA1,57.78000000,71.14000000
2023/09/19 00:00:00,SA1,47.71000000,13.24000000
2023/09/19 00:00:00,VIC1,-8.88000000,-20.34000000
2023/09/19 00:00:00,NSW1,52.63000000,44.57000000
2023/09/19 00:00:00,QLD1,45.54000000,33.52000000
2023/09/19 00:00:00,TAS1,1.06000000,-0.43000000
2023/09/20 00:00:00,VIC1,-14.30000000,-3.98000000
2023/09/20 00:00:00,QLD1,38.78000000,26.44000000
2023/09/20 00:00:00,SA1,-12.25000000,-0.55000000
2023/09/20 00:00:00,NSW1,47.97000000,43.25000000
2023/09/20 00:00:00,TAS1,-16.77000000,-8.39000000
2023/09/21 00:00:00,SA1,69.72000000,88.78000000
2023/09/21 00:00:00,TAS1,27.58000000,28.10000000
2023/09/21 00:00:00,VIC1,62.41000000,78.49000000
2023/09/21 00:00:00,NSW1,66.36000000,68.90000000
2023/09/21 00:00:00,QLD1,46.92000000,38.19000000
2023/09/22 00:00:00,VIC1,52.65000000,44.53000000
2023/09/22 00:00:00,QLD1,43.54000000,30.93000000
2023/09/22 00:00:00,SA1,55.69000000,48.13000000
2023/09/22 00:00:00,NSW1,55.91000000,48.48000000
2023/09/22 00:00:00,TAS1,38.92000000,28.79000000
2023/09/23 00:00:00,QLD1,28.54000000,N/A
2023/09/23 00:00:00,SA1,22.68000000,N/A
2023/09/23 00:00:00,VIC1,17.73000000,N/A
2023/09/23 00:00:00,NSW1,39.73000000,N/A
2023/09/23 00:00:00,TAS1,36.27000000,N/A
2023/09/24 00:00:00,TAS1,32.48000000,N/A
2023/09/24 00:00:00,QLD1,25.95000000,N/A
2023/09/24 00:00:00,SA1,48.05000000,N/A
2023/09/24 00:00:00,NSW1,32.98000000,N/A
2023/09/24 00:00:00,VIC1,4.00000000,N/A
2023/09/25 00:00:00,VIC1,34.70000000,29.52000000
2023/09/25 00:00:00,TAS1,35.90000000,32.08000000
2023/09/25 00:00:00,SA1,69.89000000,40.95000000
2023/09/25 00:00:00,NSW1,53.94000000,45.92000000
2023/09/25 00:00:00,QLD1,32.21000000,16.82000000
2023/09/26 00:00:00,VIC1,63.98000000,61.39000000
2023/09/26 00:00:00,TAS1,47.00000000,42.18000000
2023/09/26 00:00:00,NSW1,83.52000000,88.80000000
2023/09/26 00:00:00,QLD1,36.82000000,21.30000000
2023/09/26 00:00:00,SA1,81.59000000,63.60000000
2023/09/27 00:00:00,NSW1,59.80000000,53.00000000
2023/09/27 00:00:00,QLD1,35.64000000,17.92000000
2023/09/27 00:00:00,VIC1,37.50000000,21.99000000
2023/09/27 00:00:00,TAS1,37.65000000,28.64000000
2023/09/27 00:00:00,SA1,42.50000000,23.53000000
2023/09/28 00:00:00,NSW1,67.96000000,67.59000000
2023/09/28 00:00:00,VIC1,39.72000000,25.91000000
2023/09/28 00:00:00,SA1,51.09000000,40.88000000
2023/09/28 00:00:00,TAS1,16.41000000,2.73000000
2023/09/28 00:00:00,QLD1,42.36000000,29.55000000
2023/09/29 00:00:00,VIC1,21.06000000,-2.50000000
2023/09/29 00:00:00,QLD1,32.64000000,15.52000000
2023/09/29 00:00:00,SA1,40.48000000,15.36000000
2023/09/29 00:00:00,NSW1,46.16000000,33.67000000
2023/09/29 00:00:00,TAS1,26.79000000,26.14000000
2023/09/30 00:00:00,QLD1,26.55000000,N/A
2023/09/30 00:00:00,SA1,2.52000000,N/A
2023/09/30 00:00:00,VIC1,-16.36000000,N/A
2023/09/30 00:00:00,NSW1,38.11000000,N/A
2023/09/30 00:00:00,TAS1,11.75000000,N/A
